"Source:","/home/greg/projects/ButterStick/hardware/ButterStick/ButterStick.sch"
"Date:","Thu 21 Mar 2019 17:45:17 ACDT"
"Tool:","Eeschema 5.1.0-060a0da~80~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","181"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","Mfg","PN","SN-DK","Tol"
"","","R59","510k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT510K","",""
"","","R60","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R61","10k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT10K0","",""
"","","R62","10k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT10K0","",""
"","","U1","TLV725P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73325PDQNT "," 296-38493-1-ND ",""
"","","U2","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"","","U3","ECP5U25","gkl_lattice:ECP5U25-BG381","gkl_housings_bga:caBGA_381_17x17","","","Lattice","LFE5U-45F-8BG381C"," 220-2052-ND ",""
"","","U4","IS66WVH16M8ALL","gkl_mem:S27KS0641","bosonFrameGrabber:BGA_24","","","ISSI, Integrated Silicon Solution Inc","IS66WVH16M8ALL-166B1LI","706-1548-ND",""
"","","U5","IS66WVH16M8ALL","gkl_mem:S27KS0641","bosonFrameGrabber:BGA_24","","","ISSI, Integrated Silicon Solution Inc","IS66WVH16M8ALL-166B1LI","706-1548-ND",""
"","","U6","S25FL127S","gkl_mem:AT25SF081","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm","","","Cypress Semiconductor Corp","S25FL127SABMFI101","1092-1178-1-ND",""
"","","U7","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"","","U8","TLV718P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73318PDQNT "," 296-38538-1-ND ",""
"","","U9","TLV711P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73311PDQNT "," 296-38619-1-ND ",""
"","","U10","XCL206","gkl_pmic:XCL206","bosonFrameGrabber:CL-2025","","","Torex Semiconductor Ltd"," XCL206B123CR-G ","893-1404-1-ND",""
"","","U11","KSZ9031","gkl_microchip:KSZ9031","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","","Microchip Technology","","KSZ9031RNXCA","576-4040-ND",""
"","","U12","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"","","U13","SN74LVC1T45","gkl_misc:SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666","","","Texas Instruments","SN74LVC1T45DRLR"," 296-20629-1-ND ",""
"","","U14","SN74LVC1T45","gkl_misc:SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666","","","Texas Instruments","SN74LVC1T45DRLR"," 296-20629-1-ND ",""
"","","U15","TPS542951","gkl_pmic:TPS542951","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias","","Texas Instruments","","TPS542951RSAR","",""
"","","U16","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"","","U17","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"","","U18","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"","","U19","ATmega328PB-MU","MCU_Microchip_ATmega:ATmega328PB-MU","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf","Microchip Technology","","ATMEGA328PB-MUR","",""
"","","U20","PUSB3FR6","gkl_misc:PUSB3FR6","gkl_housings_son:XSON7","","Nexperia USA Inc.","","PUSB3FR6Z","",""
"","","U21","LTC4367","gkl_pmic:LTC4367","Package_SO:MSOP-8_3x3mm_P0.65mm","","Linear Technology/Analog Devices","","LTC4367IMS8-1#PBF","",""
"","","U22","AON7804","gkl_mosfet:AON7804","gkl_housings_dfn:DFN3X3_8L_EP2_P","","Alpha & Omega Semiconductor Inc.","","AON7804","",""
"","","X1","ASDMB","gkl_time:TYETBCSANF-32.000000","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","http://www.abracon.com/Oscillators/ASV.pdf","SiTIME","","SIT8008BI-72-18N-25.000000G"," 1473-30509-1-ND ",""
"","","Y1","25Mhz","Device:Crystal_GND24_Small","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","~","Kyocera International Inc. Electronic Components","","CX2520DB25000D0FLJC1","1253-1723-1-ND",""
"","","Y2","Resonator","Device:Resonator","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~","Murata Electronics North America","","CSTCE8M00G52-R0","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","Mfg","PN","SN-DK","Tol"
"1","10","C1, C12, C24, C38, C40, C41, C42, C43, C45, C47","4.7uF","Device:C","pkl_dipol:C_0603","~","","Samsung Electro-Mechanics","CL10A475KP8NNNC","1276-1044-1-ND",""
"2","36","C2, C6, C7, C8, C9, C10, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C39, C44, C46, C48, C49, C50, C64, C65, C66, C71","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","1276-1002-1-ND",""
"3","4","C3, C4, C5, C51","1uF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","445-13185-1-ND",""
"4","4","C11, C13, C14, C55","10uF","Device:C","pkl_dipol:C_0603","~","","","CL10A106MP8NNNC","445-7486-1-ND",""
"5","2","C36, C37","22pF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05C220JB5NNWC","",""
"6","4","C52, C53, C54, C56","22uF","Device:C","pkl_dipol:C_0805","","","","CL21A226MOCLRNC","1276-1002-1-ND",""
"7","2","C57, C60","10pF","Device:C","pkl_dipol:C_0402","","","","CL05C100JB5NNNC","1276-1002-1-ND",""
"8","5","C58, C59, C61, C62, C63","10nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B103KB5NNNC","1276-1002-1-ND",""
"9","3","C67, C69, C70","10uF","Device:C","pkl_dipol:C_0805","","","","CL21A106KAFN3NE","",""
"10","1","C68","100n","Device:C","pkl_dipol:C_0603","","","","CL10B104KB8NNNC","",""
"11","1","CON1","JD1_0001NL","gkl_misc:JD1_0001NL","gkl_conn:MAGJACK","","","","JD1-0001NL","553-2361-ND",""
